id,caminho,classificacao_anterior,classificacao_corrigida,placeholder_confirmado,intencionalmente_minimo
9189,quality/resilience/.tool-versions,C,C,SIM,NAO
9191,quality/resilience/CODEOWNERS,C,C,SIM,NAO
9226,quality/security/.tool-versions,C,C,SIM,NAO
9228,quality/security/CODEOWNERS,C,C,SIM,NAO
9264,quality/test-data/.tool-versions,C,C,SIM,NAO
9266,quality/test-data/CODEOWNERS,C,C,SIM,NAO
9301,quality/unit/.tool-versions,C,C,SIM,NAO
9303,quality/unit/CODEOWNERS,C,C,SIM,NAO
9327,governance/release/repository-root/renovate.json,B,C,SIM,NAO
9328,governance/release/repository-root/sonar-project.properties,B,C,SIM,NAO
