id,caminho,tipo,prioridade
8938,quality/contract/.tool-versions,C,P2
8940,quality/contract/CODEOWNERS,C,P2
8975,quality/e2e/.tool-versions,C,P2
8977,quality/e2e/CODEOWNERS,C,P2
9012,quality/financial-invariants/.tool-versions,C,P2
9014,quality/financial-invariants/CODEOWNERS,C,P2
9066,quality/integration/.tool-versions,C,P2
9068,quality/integration/CODEOWNERS,C,P2
9114,quality/performance/.tool-versions,C,P2
9116,quality/performance/CODEOWNERS,C,P2
9152,quality/regulatory/.tool-versions,C,P2
9154,quality/regulatory/CODEOWNERS,C,P2
9189,quality/resilience/.tool-versions,C,P2
9191,quality/resilience/CODEOWNERS,C,P2
9226,quality/security/.tool-versions,C,P0
9228,quality/security/CODEOWNERS,C,P0
9264,quality/test-data/.tool-versions,C,P2
9266,quality/test-data/CODEOWNERS,C,P2
9301,quality/unit/.tool-versions,C,P2
9303,quality/unit/CODEOWNERS,C,P2
9327,governance/release/repository-root/renovate.json,C,P1
9328,governance/release/repository-root/sonar-project.properties,C,P1
