conflict_id,caminho,esperado,encontrado,match
3309,,0b62bf438cf93936a5e17359d15ed299610440b4c683055194f31377532ed9bb,0b62bf438cf93936a5e17359d15ed299610440b4c683055194f31377532ed9bb,SIM
3429,,f92afc003b9cee2d4c8775a1bf40b8d4ceec0e2173f37308436535e7cdde45ce,f92afc003b9cee2d4c8775a1bf40b8d4ceec0e2173f37308436535e7cdde45ce,SIM
3433,,df969dec916b02c308e8dee37f06e52ff4ced9365dc72333db0351409d307862,df969dec916b02c308e8dee37f06e52ff4ced9365dc72333db0351409d307862,SIM
3506,,88a4d2b9c9a7035b5ce467702efabbd6bce687e4f451f46f11cb8bec646d52ba,88a4d2b9c9a7035b5ce467702efabbd6bce687e4f451f46f11cb8bec646d52ba,SIM
3512,,ae421d19eb11a33e224d6b9ba223575b9a55b2cb25a3ba5a29d718244ecdd4cb,ae421d19eb11a33e224d6b9ba223575b9a55b2cb25a3ba5a29d718244ecdd4cb,SIM
3654,,c24065b6ee8c0efc75120f9fdb4db2f7c7910cf61733200b56c77163bc4ed155,c24065b6ee8c0efc75120f9fdb4db2f7c7910cf61733200b56c77163bc4ed155,SIM
3658,,32c7b8082d50b5009446147a341abbf7a9816ccfbb2b2f15e23b3c042d5375e1,32c7b8082d50b5009446147a341abbf7a9816ccfbb2b2f15e23b3c042d5375e1,SIM
3691,,f53d38ade1257c62c026db9e8e7b2ce1fdae52de3c1e021e89eac8088ad43da6,f53d38ade1257c62c026db9e8e7b2ce1fdae52de3c1e021e89eac8088ad43da6,SIM
3693,,e77ab119350d812a1bcd27d88b0a573eb33d204ff77ca7c24e6b6a2af4d58994,e77ab119350d812a1bcd27d88b0a573eb33d204ff77ca7c24e6b6a2af4d58994,SIM
3694,,bad3af362e545ca26bd0275ac261eabbea90e74abf3bfd1ed1c775d6e5dce757,bad3af362e545ca26bd0275ac261eabbea90e74abf3bfd1ed1c775d6e5dce757,SIM
3765,,63bbce184df08d117e724df08802234dd4c083c2dbdf8293c576c1296605abd1,63bbce184df08d117e724df08802234dd4c083c2dbdf8293c576c1296605abd1,SIM
3769,,f9eadbfe8b9f048fe79e0f6099b122434d72c9e5241078625b36a43e24e688af,f9eadbfe8b9f048fe79e0f6099b122434d72c9e5241078625b36a43e24e688af,SIM
3787,,1650c3789bf22cd50335c5bc35b451049f78de782ebe8d54b06b82c9a4945346,1650c3789bf22cd50335c5bc35b451049f78de782ebe8d54b06b82c9a4945346,SIM
3852,,cc6bfd90711e1ea57a6fc249b1c4847433acd476791c45debfd0ea8b2a5e7e88,cc6bfd90711e1ea57a6fc249b1c4847433acd476791c45debfd0ea8b2a5e7e88,SIM
3856,,6484f5ad81919a38a4cc62495fd3d0ac8d125a04453e5692a292ea14773557d8,6484f5ad81919a38a4cc62495fd3d0ac8d125a04453e5692a292ea14773557d8,SIM
3874,,f0d3078271b123aa76c904a62a8856fcceb34db8045fcf2487a9c6def48a254a,f0d3078271b123aa76c904a62a8856fcceb34db8045fcf2487a9c6def48a254a,SIM
3983,,47f7799feb6cb36618e13d8afd3d31d5a6059e84409cd49ed4f760e2cf8aa807,47f7799feb6cb36618e13d8afd3d31d5a6059e84409cd49ed4f760e2cf8aa807,SIM
4016,,5b8a22975f1dd7f4ff0beabf2e0d429c1aa95b890aa24655afc232cd6763e7e3,5b8a22975f1dd7f4ff0beabf2e0d429c1aa95b890aa24655afc232cd6763e7e3,SIM
4020,,ee67a43b3e55fad921e7b48bde44a61c02fb3435ab04ed32ce529286a04fa541,ee67a43b3e55fad921e7b48bde44a61c02fb3435ab04ed32ce529286a04fa541,SIM
4038,,b24bd495d76e2792fdaf7cfa6cde6ead9a0c08ce010f5b9e7df1d0cdffa7d216,b24bd495d76e2792fdaf7cfa6cde6ead9a0c08ce010f5b9e7df1d0cdffa7d216,SIM
4129,,9a951998a2fc07767fe03c9de87463b9e8eacd85451bfb5f7929ace702f2e83b,9a951998a2fc07767fe03c9de87463b9e8eacd85451bfb5f7929ace702f2e83b,SIM
4133,,9f77fea3be31b21a2aa0d489d728e1a12c54e2d0ebf95165def0c78eec95879e,9f77fea3be31b21a2aa0d489d728e1a12c54e2d0ebf95165def0c78eec95879e,SIM
4153,,3d832513f80baee3ff412c4ca62516b2750a65dc64359b388272c8f5c7be1707,3d832513f80baee3ff412c4ca62516b2750a65dc64359b388272c8f5c7be1707,SIM
4336,,378699dbe3d244a3626f6ba6d73b02b9d68ead279636fcdff96cc3ce91777dcd,378699dbe3d244a3626f6ba6d73b02b9d68ead279636fcdff96cc3ce91777dcd,SIM
4340,,5dbc12a3e81fa6cdb77dd5a3dd94f0dfcaa16f6e3404606fa6e807e69ecbcd28,5dbc12a3e81fa6cdb77dd5a3dd94f0dfcaa16f6e3404606fa6e807e69ecbcd28,SIM
4358,,6dfdb89e9d8448e9bb2ec213efcf759dc33d14e62b3af22a5f846e86e5767eca,6dfdb89e9d8448e9bb2ec213efcf759dc33d14e62b3af22a5f846e86e5767eca,SIM
